composition,icsdnum,energyperatom
La4O30Si4Ti9,67556.0,-8.177
C3N4,83261.0,-8.177
Fe1La5O17Ti4,154413.0,-8.176
Nb1O2,645141.0,-8.174
O7Sc2Si2,1457.0,-8.173
La1N5Si3,130022.0,-8.173
La1O3Ti1,63572.0,-8.168
La1O3Ti1,63573.0,-8.168
O5Ti3,26492.0,-8.165
Cr1N1,181079.0,-8.162
Hf3P1,35439.0,-8.152999999999999
Mn1O3Sc1,79253.0,-8.152000000000001
Mn1O3Sc1,50694.0,-8.152000000000001
Ba1Hf1O9Si3,183835.0,-8.15
La1O3V1,63520.0,-8.149
La2O7Si2,71807.0,-8.148
La4O22Si4Ti5,79318.0,-8.148
Mn1O3Ti1,65359.0,-8.147
N3V2,182700.0,-8.146
Mn1Nb3O6,89477.0,-8.144
B4C4Nb7,411624.0,-8.142999999999999
Al1O3Y1,4115.0,-8.142000000000001
C1Co2W4,150861.0,-8.142000000000001
Hf2P1,24350.0,-8.141
C3N4,41950.0,-8.141
La2O7Si2,92498.0,-8.141
Mn3O6W1,74952.0,-8.135
Cr2Mn1O4,167400.0,-8.133
Fe1O3Zr1,247122.0,-8.13
Cr1La1O3,41061.0,-8.128
Cr1N1Nb1,16496.0,-8.128
Cr1N1Nb1,23779.0,-8.128
O3Ti2,9657.0,-8.123
La1O3Ti1,28908.0,-8.121
Mo1N1,168368.0,-8.121
Mn3Nb6O11,62661.0,-8.117
Mn2O4Ti1,22313.0,-8.117
La4O22Si4V5,80263.0,-8.113999999999999
La4O22Si4V5,79812.0,-8.113999999999999
Mn4Nb2O9,202550.0,-8.11
Mn4Nb2O9,29216.0,-8.11
Hf7P4,405208.0,-8.107999999999999
Mn4Nb2O9,27133.0,-8.106
Cr2O3,250078.0,-8.106
O3V2,260212.0,-8.105
C2Y1,619117.0,-8.102
Ba1O13Ti6,2922.0,-8.101
Ba2Nb15O32,69991.0,-8.099
La1O3V1,28925.0,-8.097999999999999
O20Sr1Ti11,71299.0,-8.096
La11O26V4,80519.0,-8.096
Mo1N1,159441.0,-8.096
C1Nb1,183164.0,-8.096
O3V2,1871.0,-8.093
O3V2,64796.0,-8.093
O3V2,647636.0,-8.092
Ba1La2O10Ti3,164868.0,-8.088
Ba1O10Si3Y2,240470.0,-8.087
N4Si3,97567.0,-8.083
La2O3,24693.0,-8.081
Ba1O11Ti5,26174.0,-8.079
Na1Nb13O33,24300.0,-8.078
Ba1Nb8O14,79976.0,-8.076
O10Si3Sr1Y2,167613.0,-8.076
Hf1Mo2O8,59998.0,-8.075
Nb6O16Sr1,60783.0,-8.072000000000001
Ge1Hf1O4,202080.0,-8.07
La3N6V2,98477.0,-8.068999999999999
C1Mo1,44987.0,-8.066
Al2O12W3,90937.0,-8.064
Al2O12W3,56827.0,-8.064
Al2O12W3,164491.0,-8.064
Al2O12W3,73879.0,-8.064
La1O4V1,411083.0,-8.062999999999999
Mo1N1,60168.0,-8.062999999999999
Nb4O5,39595.0,-8.061
La3Mo1O7,247566.0,-8.06
Ba2O20Ti9,35582.0,-8.06
Nb8O14Sr1,202674.0,-8.059
La3Mo1O7,247567.0,-8.058
B3Co1W3,25753.0,-8.058
Al1O3Y1,27100.0,-8.052
B2Fe1W2,43016.0,-8.051
Al1O4W1,4164.0,-8.05
O4Sc1V1,169173.0,-8.047
K1O8W2Y1,90379.0,-8.039
K1O8W2Y1,90378.0,-8.039
N4Si3,97566.0,-8.038
O7V2Zr1,84883.0,-8.037
O7V2Zr1,84885.0,-8.037
Nb1O1,40318.0,-8.035
B3C2Nb4,411623.0,-8.033999999999999
La1O4V1,8294.0,-8.033999999999999
Hf1Mo2O8,98065.0,-8.032
Al2O15Ti7,202646.0,-8.031
C4N6Sr1,411363.0,-8.029
Ba1O9Ti4,48019.0,-8.027999999999999
Mn2O7Y2,56516.0,-8.025
Ca1O3Zr1,97465.0,-8.023
Ca1O7Si2Zr1,203131.0,-8.021
O5V3,195.0,-8.021
O5V3,16445.0,-8.021
Mn2O7Y2,202516.0,-8.02
Mn1N1,106932.0,-8.02
Al5O12Y3,31496.0,-8.017999999999999
O16V13,77708.0,-8.017000000000001
Hf5K4O12,180186.0,-8.015
Al2Na3Nb34O64,65161.0,-8.009
O5V3,15899.0,-8.005
B2W1,615700.0,-8.003
Mn1N2Si1,172193.0,-8.002
Ba1O10Sc2Si3,167617.0,-8.002
Ba1La2O7Sc2,167599.0,-8.002
Hf9Mo4P1,638625.0,-8.002
Ba4O30Ti13,300032.0,-8.001
Hf1P1,42914.0,-8.001
Na1Nb10O18,85052.0,-8.001
La2Mo1O6,79807.0,-7.992000000000001
C1Fe1N2,419223.0,-7.9910000000000005
Ba1N10Si7,405772.0,-7.989
O7Si2Sr1Zr1,75272.0,-7.989
Mo3O12Y2,414554.0,-7.987
C1Fe3W3,76759.0,-7.986000000000001
Ca1O4Sc2,26074.0,-7.986000000000001
Ba1Hf1N2,184053.0,-7.984
Ge1O5Y2,260425.0,-7.983
C1V1,619065.0,-7.983
C7V8,22177.0,-7.977
Ba2O22Ti13,75519.0,-7.976
